instname,control,tuition,revenue,fed_grant_avg_amount,state_grant_avg_amount,inst_grant_avg,loan_avg_amount,totaldegrees,total_enrollment,all_employees,tuition02_tf
University of California-Davis,1,391145000,2987475000,5309,6453,6758,5281,8125,31247,16320,6888
University of Wisconsin-Madison,1,390735860,2291794800,5285,2239,3810,6470,9832,41654,20939,7296
Walden University,3,390666158,391245883,3355,,1884,7730,8494,40714,2831,11314
Long Island University-C W Post Campus,2,385132529,362300411,5736,3488,9029,6841,3972,21414,3443,27368
University of Delaware,1,384596106,841784457,4641,5823,5708,7274,4497,21138,5702,8540
Yale University,2,383916112,2912061896,4983,4560,34491,7998,3512,11593,15368,36500
University of Florida,1,383204000,2270132000,5705,3455,3358,4954,15438,50691,17827,3070
Colorado Technical University Online,3,382982228,361907515,3940,9131,740,9865,7540,30924,1780,14432
Miami University-Oxford,1,381281446,536378502,5002,1006,5069,6052,4621,22247,5149,10122
University of California-San Diego,1,380806000,2908774000,5368,6309,5835,5131,7524,28418,16333,6888
University of Connecticut,1,378497892,1735552169,5079,3030,7184,6094,6843,29517,11364,7632
Tufts University,2,369594051,801191449,7151,3742,24820,5621,2877,10252,5468,39432
University of New Hampshire-Main Campus,1,367060215,712029821,5269,1369,6848,7420,6602,29656,7099,10080
Virginia Polytechnic Institute and State University,1,353127321,1029072010,2059,3549,3706,6372,7601,30870,10206,6639
Rochester Institute of Technology,2,349055000,492778000,5769,4792,12408,7072,3304,15445,3633,28866
University of Denver,2,348800139,400695746,7085,1509,18793,5783,3603,11644,3145,34596
Tulane University of Louisiana,2,347037000,769415000,6066,3382,25055,7436,2920,11464,5261,37200
University of Georgia,1,346870338,1161888839,5110,7391,6088,5326,8915,34885,13088,4828
University of Iowa,1,346060000,2317485000,4937,3681,6265,5194,6864,28987,13050,5782
Saint Louis University-Main Campus,2,340232040,725299074,5784,3135,15142,7951,3097,16317,5398,30940
Ashford University,3,339787591,315618537,4380,1583,6853,5160,7690,46835,4048,10620
Johnson & Wales University,2,339344550,344249933,4714,1938,8860,7476,5332,16655,2918,22149
The University of Alabama,1,337623787,867997390,5273,732,7241,11650,5951,28699,6912,7000
American InterContinental University-Online,3,336577895,343658385,4745,11747,795,10585,10095,26630,1359,16803
Hofstra University,2,335617147,372030281,5132,2862,13561,9893,2951,12068,2588,29080
Capella University,3,333239687,337026720,2829,,983,5665,4253,31998,1476,10620
Villanova University,2,324706418,385636787,10510,2860,21692,12494,2959,10375,2806,38240
West Virginia University,1,324427743,835056700,4522,4394,2983,6274,6535,32873,8717,5304
Southern Methodist University,2,324171000,445499000,6322,4245,20238,7334,3480,10891,3041,31200
Auburn University Main Campus,1,322114609,767269691,6384,7157,7611,5976,5434,24602,8403,6240
Pace University-New York,2,321502737,282281842,5306,3333,17812,7231,3099,12706,2755,31860
University of Rochester,2,321252000,2692752000,7273,2612,21709,6645,2778,9506,9842,37870
University of Houston,1,320950535,762651777,5212,5339,4897,6171,7230,37000,6745,4434
Brown University,2,320538000,805396000,6087,762,29119,6178,2212,8574,5054,38048
University of North Carolina at Chapel Hill,1,317817133,2451757618,4994,4261,6634,5606,7388,28916,15547,3865
Ohio University-Main Campus,1,303352545,604717106,4457,1084,2680,5987,6144,32359,6398,8973
Kent State University Kent Campus,1,302129444,591889555,4664,1150,3417,6438,5859,41483,6083,8726
