instname,state,control,tuition,revenue,fed_grant_avg_amount,state_grant_avg_amount,inst_grant_avg,loan_avg_amount,tuition02_tf,tuition03_tf,totaldegrees,total_enrollment
Brandeis University,Massachusetts,2,179761113,323812891,6352,2841,24541,5393,37530,37530,1575,5598
Manhattanville College,New York,2,75184029,65875438,4891,3304,24533,6179,31490,31490,741,2993
Grinnell College,Iowa,2,56901000,214200000,5666,3240,24369,4403,35976,35976,379,1688
Lehigh University,Pennsylvania,2,214804000,389613000,5541,2644,24268,7357,38330,38330,1897,6996
Bucknell University,Pennsylvania,2,142965000,228686000,4652,2744,23994,6269,40594,40594,928,3737
Kenyon College,Ohio,2,64745184,107963932,2611,1595,23979,4005,39810,39810,432,1633
Babson College,Massachusetts,2,122907286,164248630,5949,1635,23930,6917,37824,37824,1172,3445
Wake Forest University,North Carolina,2,220626352,1197367262,8694,2498,23842,7085,38206,38206,2021,7079
Northwestern University,Illinois,2,726246000,2130137000,7734,4693,23666,5978,38463,38463,6081,19853
Carleton College,Minnesota,2,78925879,183728965,5951,5959,23524,4900,39546,39546,497,2009
Franklin and Marshall College,Pennsylvania,2,92466829,138892655,6042,2899,23444,6674,39930,39930,467,2175
Hampshire College,Massachusetts,2,54917949,52407129,6217,973,23378,5273,39112,39112,304,1463
Washington University in St Louis,Missouri,2,427952252,2613970330,3542,2805,23205,5967,37800,37800,3863,13575
St Lawrence University,New York,2,93225351,127376409,8428,2468,23084,5224,39520,39520,560,2401
Fairfield University,Connecticut,2,141701000,184827000,5641,3620,22976,8245,36900,36900,1236,5074
Boston University,Massachusetts,2,1004001784,1667040908,6532,2345,22813,9825,37910,37910,9072,31960
Rollins College,Florida,2,88284000,121748000,6024,6669,22743,6361,36220,36220,956,3294
Syracuse University,New York,2,608646865,821674914,6854,2984,22553,7657,33630,33630,4585,19638
Case Western Reserve University,Ohio,2,293123569,845615673,6364,2189,22421,7769,35900,35900,2748,9738
Earlham College,Indiana,2,40813514,80945907,6157,4018,22403,5415,34400,34400,253,1266
University of Miami,Florida,2,535490996,2310037972,6345,6138,22374,8499,35540,35540,4285,15629
Principia College,Illinois,2,11897639,77611928,,,22228,5220,22650,22650,102,527
University of Southern California,California,2,1152480000,3139912000,5396,9657,22181,6689,38570,38570,10450,34824
Berea College,Kentucky,2,42854616,135645830,5017,6273,22173,1886,0,0,289,1548
Bard College at Simon's Rock,Massachusetts,2,16278930,20237453,5038,2113,22079,7003,39375,39375,177,431
Cleveland Institute of Music,Ohio,2,18176258,18254290,4806,1391,21966,7308,33750,33750,128,437
University of San Francisco,California,2,263220000,282018000,6127,8978,21930,6496,34430,34430,2620,9008
Furman University,South Carolina,2,98445067,171675453,4105,7766,21904,6329,36296,36296,644,2962
Gettysburg College,Pennsylvania,2,102572258,131033700,5889,2835,21901,5250,38690,38690,623,2547
Harvey Mudd College,California,2,29098837,61421100,6596,9708,21838,6711,38222,38222,172,763
Sewanee-The University of the South,Tennessee,2,55771929,107142297,6070,4776,21786,8111,33900,33900,375,1543
Stevens Institute of Technology,New Jersey,2,135312484,176931935,6040,5977,21767,10239,33600,33600,1701,5757
