instname,state,zip,control,medical,hospital,fte_count,tuition,revenue,tuition_discount,any_aid_num,any_aid_pct,fed_grant_num,fed_grant_pct,fed_grant_avg_amount,state_grant_num,state_grant_pct,state_grant_avg_amount,inst_grant_num,inst_grant_pct,inst_grant_avg,loan_num,loan_pct,loan_avg_amount,fee01_tf,tuition02_tf,tuition03_tf,fee05_tf,tuition06_tf,tuition07_tf,total01,assets06,liabilities07,assets11,land04,assets15,endow02m,assets16,associatedegrees,bachelordegrees,masterdegrees,doctordegrees,firstprofdegrees,awardslessthan1yr,awards1yrto2yr,awards2yrto4yr,postbacccertificates,postmastcertificates,firstprofcertificates,postmastFPcert,totaldegrees,grad_rate_150_n,grad_rate_150_p,ugentering,fall_total_undergrad,total_full_time_undergraduates,total_full_time_graduates,total_full_time_postbacc,total_full_time,total_part_time_undergraduates,total_part_time_graduates,total_part_time_postbacc,total_part_time,total_undergraduates,total_graduates,total_postbacc,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,ftall03ug,ftall04ug,ftall05ug,ftall06ug,ftall08ug,ftall09ug,ftall10ug,ftall11ug,ftall12ug,ftall13ug,ftall14ug,ftall03gr,ftall04gr,ftall05gr,ftall06gr,ftall08gr,ftall09gr,ftall10gr,ftall11gr,ftall12gr,ftall13gr,ftall14gr,ftall03,ftall04,ftall05,ftall06,ftall08,ftall09,ftall10,ftall11,ftall12,ftall13,ftall14,ptall03ug,ptall04ug,ptall05ug,ptall06ug,ptall08ug,ptall09ug,ptall10ug,ptall11ug,ptall12ug,ptall13ug,ptall14ug,ptall03gr,ptall04gr,ptall05gr,ptall06gr,ptall08gr,ptall09gr,ptall10gr,ptall11gr,ptall12gr,ptall13gr,ptall14gr,ptall03,ptall04,ptall05,ptall06,ptall08,ptall09,ptall10,ptall11,ptall12,ptall13,ptall14,applcn,applcnm,applcnw,admssn,admssnm,admssnw,enrlt,enrlm,enrlw,applicantcount,admitcount,enrollftcount,enrollptcount,actcm25,actcm75,acten25,acten75,actmt25,actmt75,satmt25,satmt75,satvr25,satvr75,ftall1,ptall1,ft_faculty_per_100fte,pt_faculty_per_100fte,all_employees,ft_faculty_salary,full_time_employee_100fte,full_time_faculty_share,faculty_instr_headcount,LONGITUD,LATITUDE
South University-Montgomery,Alabama,36116-1120,3,2,2,496.769046,11473672,12099933,0.015387227,73,99,66,89,6147,7,9,4066,5,7,2965,70,95,9817,0,14685,14685,0,13815,13815,8787685,9453831,5342172,,,,,,53,34,13,,,,,,,,,,100,1,0.142857143,214,599,357,34,34,391,242,28,28,270,599,62,62,661,2,6,464,7,180,2,0,0,2,38,61,63,67,55,39,29,3,,,,,,2,9,6,9,5,3,,,2,38,61,65,76,61,48,34,6,,,0,32,37,41,52,33,19,22,6,,,,,,2,2,3,6,8,7,,,0,32,37,43,54,36,25,30,13,,,131,30,101,116,25,91,86,25,61,131,116,60,26,,,,,,,,,,,18,42,3.623414169,8.454633061,91,45098.55556,8.857234635,0.3,18,-86.217741,32.342503
Enterprise-Ozark Community College,Alabama,36330-1300,1,2,2,2104.967752,8969611,24380602,0.090971281,468,85,298,54,5251,12,2,400,187,34,2362,138,25,3119,570,2130,4260,,,,27455067,30025841,5963711,24062130,857453,24062130,,,315,,,,,220,97,,,,,,315,138,0.323185012,1209,2833,1737,,,1737,1096,,,1096,2833,,,2833,32,52,534,122,1994,26,73,0,19,555,374,192,202,129,105,119,37,4,1,,,,,,,,,,,,19,555,374,192,202,129,105,119,37,4,1,189,152,141,125,137,108,90,96,52,6,0,,,,,,,,,,,,189,152,141,125,137,108,90,96,52,6,0,,,,,,,,,,,,,,,,,,,,,,,,63,112,2.99291996,5.320746595,278,51570.25397,7.221013237,0.36,63,-85.835009,31.299651
James H Faulkner State Community College,Alabama,36507-2698,1,2,2,3243.688001,12584180,29653113,0.160379858,896,84,609,57,4602,52,5,1007,540,50,2945,346,32,3941,660,2130,4260,,,,31151266,51667063,20850048,30817015,486631,30817015,,,367,,,,,12,52,,,,,,367,143,0.164367816,1933,4355,2682,,,2682,1673,,,1673,4355,,,4355,85,36,799,88,3256,47,39,5,40,1170,678,270,224,119,66,87,26,2,0,,,,,,,,,,,,40,1170,678,270,224,119,66,87,26,2,0,133,205,264,304,279,155,115,147,58,10,3,,,,,,,,,,,,133,205,264,304,279,155,115,147,58,10,3,,,,,,,,,,,,,,,,,,,,,,,,68,136,2.096379183,4.192758365,313,56088.59701,5.055973323,0.333333333,67,-87.776669,30.852589
Faulkner University,Alabama,36109-3378,2,2,2,2823.31298,40140695,41876982,0.16770168,294,85,177,51,3948,147,43,569,180,52,5426,243,71,6710,970,12720,12720,100,10920,10920,36216446,75572601,36509308,39063293,3372395,39063293,,17863232,7,649,77,,84,,,,,,,,817,69,0.372972973,742,2762,2081,453,453,2534,681,57,57,738,2762,510,510,3272,17,14,1502,31,1498,,187,23,9,176,380,396,327,270,193,239,76,0,15,,,2,91,188,72,38,50,9,,3,9,176,382,487,515,342,231,289,85,0,18,5,7,26,61,135,132,87,109,30,1,88,,,0,9,16,13,7,10,2,,0,5,7,26,70,151,145,94,119,32,1,88,999,576,423,582,330,252,253,158,95,999,582,253,0,18,23,17,23,18,22,440,530,440,570,99,1,3.506518785,0.035419382,300,58440.86869,9.56323305,0.99,99,-86.216358,32.381918
Gadsden State Community College,Alabama,35903,1,2,2,5126.811215,19061515,52321291,0.301082626,1297,82,999,64,5141,109,7,1377,339,22,2196,28,2,3690,570,2130,4260,,,,61632557,93543995,35757086,57786909,1316808,57786909,,,544,,,,,154,235,,,,,,544,230,0.196917808,2705,6917,4222,,,4222,2695,,,2695,6917,,,6917,27,38,1502,164,4905,61,61,159,51,1464,970,502,446,293,199,209,85,3,,,,,,,,,,,,,51,1464,970,502,446,293,199,209,85,3,,108,283,477,422,450,313,226,277,129,10,,,,,,,,,,,,,108,283,477,422,450,313,226,277,129,10,,,,,,,,,,,,,,,,,,,,,,,,,153,190,2.984311175,3.706007341,672,53377.50327,8.25074266,0.44606414,153,-85.98997,33.994979
George C Wallace Community College-Dothan,Alabama,36303-9234,1,2,2,3350.380257,13393577,35259367,0.117408964,838,86,616,63,5293,50,5,298,335,34,2265,33,3,5123,570,2130,4260,,,,38924867,57353902,13217418,44136484,842817,44136484,,,507,,,,,77,166,,,,,,507,126,0.178470255,1775,4653,2692,,,2692,1961,,,1961,4653,,,4653,23,49,1434,83,2991,31,37,5,19,876,541,339,345,185,167,146,74,0,,,,,,,,,,,,,19,876,541,339,345,185,167,146,74,0,,139,199,251,312,310,234,188,222,95,11,,,,,,,,,,,,,139,199,251,312,310,234,188,222,95,11,,,,,,,,,,,,,,,,,,,,,,,,,132,122,3.939851297,3.641377714,463,51049.31783,7.820007877,0.519685039,129,-85.46796,31.31592
George C Wallace State Community College-Hanceville,Alabama,35077-2000,1,2,2,4493.576432,17384488,47645567,0.096076629,898,81,608,55,4801,21,2,3037,348,31,1901,373,34,4101,570,2130,4260,,,,52716775,114589321,31366693,83222628,2095504,83222628,,,769,,,,,126,100,,,,,,769,289,0.309421842,2343,6311,3575,,,3575,2736,,,2736,6311,,,6311,57,26,288,75,5751,,67,47,31,1283,896,399,290,229,168,196,78,5,,,,,,,,,,,,,31,1283,896,399,290,229,168,196,78,5,,335,305,423,414,362,265,234,264,108,26,,,,,,,,,,,,,335,305,423,414,362,265,234,264,108,26,,,,,,,,,,,,,,,,,,,,,,,,,123,202,2.737240634,4.495305756,491,52524.50407,5.852799078,0.378461538,123,-86.778259,34.072755
Herzing University,Alabama,35209,3,2,2,320.571404,7515107,7506557,0.001137708,34,100,29,85,6380,9,26,705,3,9,2143,33,97,14133,0,10220,10220,,,,4715206,10547862,915041,,,,,,92,25,,,,,46,,,,,,117,5,0.217391304,107,425,253,,,253,172,,,172,425,,,425,0,0,261,0,121,,43,0,,3,21,19,76,53,38,38,5,0,,,,,,,,,,,,,,3,21,19,76,53,38,38,5,0,,,2,7,24,49,36,27,19,7,1,,,,,,,,,,,,,,2,7,24,49,36,27,19,7,1,,89,33,56,70,25,45,45,15,30,89,70,27,18,,,,,,,,,,,12,10,3.743315795,3.119429829,50,44980.5,9.358289487,0.545454545,12,-86.832344,33.468136
Huntingdon College,Alabama,36106-2148,2,2,2,942.642826,16721235,18348684,0.489646488,237,100,98,41,4901,165,70,497,237,100,10035,175,74,6816,1000,19990,19990,,,,18270813,71129452,27980172,43149280,1314032,43149280,,39500712,,202,,,,,,,,,,,202,91,0.473958333,363,1075,857,,,857,218,,,218,1075,,,1075,3,6,176,13,644,,225,8,10,389,308,88,21,12,13,10,6,,,,,,,,,,,,,,10,389,308,88,21,12,13,10,6,,,1,0,8,25,51,39,29,47,18,,,,,,,,,,,,,,1,0,8,25,51,39,29,47,18,,,1138,627,511,757,412,345,236,137,99,1138,757,236,0,19,24,20,25,17,24,430,560,450,610,45,68,4.773812388,7.213760942,240,51998.73333,17.61006347,0.398230088,45,-86.285285,32.352002
Jacksonville State University,Alabama,36265,1,2,2,7452.903807,53266020,105171840,0.169200984,1059,87,594,49,4806,223,18,1532,348,29,5203,784,64,6456,0,5970,11940,0,6576,13152,111994117,194174304,114879272,79295032,4222437,79295032,,,,1118,373,,,,,,27,106,,106,1491,336,0.330383481,1961,7884,5957,294,294,6251,1927,1173,1173,3100,7884,1467,1467,9351,59,55,2624,105,5945,0,322,241,34,2053,1835,1169,433,199,105,97,31,1,,0,,2,90,89,52,21,24,15,1,,34,2053,1837,1259,522,251,126,121,46,2,,257,98,230,382,319,205,154,196,84,2,,1,,2,141,369,200,164,194,98,4,,258,98,232,523,688,405,318,390,182,6,,2919,1247,1672,2558,1069,1489,1252,537,715,2919,2558,1220,32,17,22,16,23,16,21,400,510,400,500,322,141,4.320463652,2.643265029,1112,59944.51553,10.98900538,0.620423892,322,-85.763653,33.824096
