instname,control,tuition,revenue,fed_grant_avg_amount,state_grant_avg_amount,inst_grant_avg,loan_avg_amount,tuition02_tf,totaldegrees,total_enrollment
Baptist Health Schools-Little Rock,2,5198984,4877045,4181,1500,636,7865,6400,,1022
Black River Technical College,1,4584304,16313061,5163,2065,2336,4158,1680,172,2239
University of Central Arkansas,1,68687918,156203197,4883,2730,7385,6833,5205,2242,11781
Central Baptist College,2,3742423,4703177,4743,3240,3839,7840,9150,104,625
Crowley's Ridge College,2,1320289,2405161,5086,1569,1349,6391,7650,17,172
East Arkansas Community College,1,2923099,13131100,5253,950,1254,2175,2040,114,1530
National Park Community College,1,6623655,24671519,4609,1471,827,6099,2700,352,3698
University of Arkansas Community College-Batesville,1,3648398,12870377,4476,1980,1134,5147,1584,195,1725
Harding University,2,74902945,105557606,4451,4275,6457,6734,13140,1164,6484
Henderson State University,1,24236120,50387399,4806,2281,5828,5411,4080,572,3567
Hendrix College,2,38517901,57456259,4818,7278,20006,5862,28713,304,1463
John Brown University,2,29828668,58785528,5805,5230,8650,5518,18032,624,2073
Arkansas Northeastern College,1,3738375,22508246,5018,2291,1504,5167,1736,198,1914
North Arkansas College,1,4304046,21184774,5143,2008,1990,5403,1848,213,2429
Northwest Technical Institute,1,1131074,6492183,1837,679,762,8333,1890,,310
Ouachita Baptist University,2,26166343,40799933,4652,3915,10932,5820,18038,293,1447
Ouachita Technical College,1,2862570,10674887,4518,2062,1612,3427,1770,119,1610
Ozarka College,1,2863906,9864224,4521,1763,1069,5845,1680,126,1364
University of the Ozarks,2,13022571,23154103,2314,1641,27969,4395,18300,109,625
University of Arkansas Community College-Morrilton,1,5652061,15090148,4207,1906,1243,4779,2310,300,2421
Philander Smith College,2,5954411,14979681,6093,1682,6879,4241,8620,98,668
Phillips Community College of the University of Arkansas,1,3160368,22512420,4577,967,1356,2556,1920,158,2282
Southeast Arkansas College,1,4131201,13478849,4512,1096,2088,2754,2040,169,2037
Pulaski Technical College,1,24150583,48991317,3944,1197,2039,6554,2400,1134,10255
University of Arkansas Community College-Hope,1,2387884,11213811,4529,1564,1485,2121,1770,134,1474
Williams Baptist College,2,7329923,9592036,4612,2422,4774,4367,10600,77,619
South Arkansas Community College,1,3698915,15217155,4772,1499,1496,3374,1824,136,1772
Southern Arkansas University Main Campus,1,18629195,42957832,5267,2395,5125,5326,5100,605,3226
Southern Arkansas University Tech,1,4608328,15871496,5689,1890,2165,4464,2550,159,2007
University of Arkansas-Fort Smith,1,29843347,66154497,4636,2241,2479,3968,3420,802,7335
Academy of Art University,3,232223834,247391291,4445,6306,15627,6463,17760,1482,15413
Allan Hancock College,1,6632752,74479263,4430,885,175,2977,722,891,11070
American Academy of Dramatic Arts-West,2,5194382,4622634,4593,6472,6157,8580,26500,17,177
Art Center College of Design,2,68125000,70586000,7051,9353,11686,11751,31076,364,1945
Azusa Pacific University,2,172957547,189844935,5074,8572,9942,7080,26950,2458,8539
Bakersfield College,1,16278877,165497297,4535,952,493,5424,624,1416,29315
Bethany University,2,7611565,11050041,4931,4387,7565,7301,17600,111,497
Biola University,2,117489000,139209000,4789,8035,8581,9498,27744,1272,5942
Brooks Institute,3,52738697,55819341,3509,7339,1334,31119,24960,566,2235
Butte College,1,10660204,98386774,4539,1049,299,5287,624,1036,13147
California Baptist University,2,79859154,82657933,4625,7347,8936,7930,21866,956,4103
California College of the Arts,2,59627074,51684000,4742,7503,13840,7617,32904,436,1828
California Institute of Technology,2,71503000,2365740000,4814,2294,29152,5026,33324,490,2130
California Lutheran University,2,78825653,89738455,5349,8553,14311,6388,28980,957,3714
California Polytechnic State University-San Luis Obispo,1,130886425,327570855,5453,2715,4457,5293,11160,4470,19325
