instname,control,tuition,revenue,fed_grant_avg_amount,state_grant_avg_amount,inst_grant_avg,loan_avg_amount,tuition02_tf,totaldegrees,total_enrollment
International Business College-Indianapolis,3,5817255,6932980,5233,2467,650,8357,13320,151,386
ITT Technical Institute-Nashville,3,19072944,19068451,5149,2117,4009,11589,16848,242,1041
ITT Technical Institute-Fort Wayne,3,12509503,12482546,4930,1843,1886,10221,16848,157,763
ITT Technical Institute-Indianapolis,3,74207362,71970180,4352,1374,1815,7501,16074,800,6205
Brown Mackie College-Merrillville,3,22219274,24194561,5372,3092,5372,11187,11448,273,1375
Manchester College,2,26199822,31104761,2340,5089,12671,6062,23000,199,1223
Marian University,2,39900027,70412946,5016,5186,13984,6704,24000,585,2277
Indiana Wesleyan University,2,133855552,164924207,3693,3705,8840,7590,20496,5516,15345
Martin University,2,9331556,10856958,3020,2257,614,2348,13200,93,1251
Brown Mackie College-South Bend,3,17545124,19375165,5198,3448,1000,11523,9389,192,1115
University of Notre Dame,2,419271000,1337332000,10144,2007,26534,5606,37970,3368,11816
Oakland City University,2,21482910,26768364,4835,5039,6751,5344,15000,614,2550
Purdue University-Calumet Campus,1,56389482,104631471,5045,3536,4042,5453,5119,1279,10133
Purdue University-North Central Campus,1,19200916,34639282,2038,1795,647,2909,5189,575,4463
Rose-Hulman Institute of Technology,2,63210312,81729863,4815,3491,14642,9560,33900,494,1963
University of Saint Francis-Ft Wayne,2,40621401,34453657,4675,4575,9625,6399,20950,471,2165
Saint Josephs College,2,18790551,73755957,4829,4860,12970,6382,24350,183,1011
Saint Mary-of-the-Woods College,2,15199300,16144767,4162,5673,18141,9144,22360,226,1677
Saint Mary's College,2,48467121,69132203,5396,4527,14787,6833,28980,376,1664
Kaplan College-Hammond,3,11523626,9001542,3284,3342,116,9462,12792,113,637
Kaplan College-Merrillville,3,6374103,5042240,4132,9030,970,8958,12584,72,370
Saint Elizabeth School of Nursing,2,2573405,3129185,4160,5134,4000,5065,14560,,234
Taylor University,2,50664331,68059771,4919,4423,10361,6850,25164,551,2559
Trine University,2,38114044,39152829,3173,5124,13666,10199,24100,366,1925
Valparaiso University,2,105531922,104259578,7191,4683,15519,7325,27360,1099,4065
Vincennes University,1,40128854,135913537,4544,2891,2305,7113,3974,1341,13947
Wabash College,2,26666082,72818995,4653,4791,16250,6556,29100,204,883
Allen College,2,5279328,5674624,6647,5800,1167,4833,13119,147,454
AIB College of Business,2,11180736,11029453,4448,3330,5286,6100,12900,348,969
Briar Cliff University,2,19601311,20093663,5585,3683,13312,6944,21867,218,1158
Buena Vista University,2,39182402,50799621,5879,3515,13316,8747,25540,788,2647
Central College,2,38743041,48939263,5057,4255,13449,11674,24630,317,1636
Clarke College,2,21541866,23487049,4274,3615,11415,7371,22800,262,1202
Coe College,2,31142514,39546228,7333,3676,16871,5877,28950,255,1300
Cornell College,2,32435584,37901866,5278,3561,18451,5883,29400,202,1133
Des Moines Area Community College,1,52668767,135067297,2303,848,239,2811,3450,1805,22324
Dordt College,2,28178580,37296356,4609,3566,9443,6572,21720,278,1322
Drake University,2,122527144,142098098,6316,3624,12958,7678,25160,1428,5653
University of Dubuque,2,32350765,60373408,4622,3289,8016,11053,20200,297,1718
Ellsworth Community College,1,2574286,15928870,4574,2289,1838,5040,3048,160,1174
Emmaus Bible College,2,2742345,5552440,4121,3304,1809,5328,10916,31,250
Eastern Iowa Community College District,1,21356626,73091775,4303,1711,1143,5278,3360,836,8480
Faith Baptist Bible College and Theological Seminary,2,4510747,9715158,3840,3497,3537,6228,12860,89,417
Graceland University-Lamoni,2,27962607,38827876,5369,4829,15280,11399,19890,725,2357
Grand View University,2,31098809,30913433,5013,3891,8272,7754,18944,466,2039
Grinnell College,2,56901000,214200000,5666,3240,24369,4403,35976,379,1688
Kaplan University-Cedar Rapids Campus,3,47244471,33081350,4724,2516,1424,11612,14515,528,1949
Hawkeye Community College,1,17097104,52963967,4141,1571,611,5229,2904,872,6321
Indian Hills Community College,1,17044910,52522424,4415,1236,2673,5855,2976,805,5137
Iowa Central Community College,1,19758110,53719782,4230,1492,1189,4924,3480,790,5905
Iowa Lakes Community College,1,11317508,36148074,4473,2051,1957,5486,4096,439,3201
Iowa State University,1,274780702,955963566,5140,4210,4826,6437,5756,5650,27945
Iowa Wesleyan College,2,14172280,16405111,4285,3113,10741,6876,21000,177,858
Iowa Western Community College,1,18234034,49827948,4044,2312,2356,4855,3570,674,6100
University of Iowa,1,346060000,2317485000,4937,3681,6265,5194,5782,6864,28987
Kirkwood Community College,1,46375772,110039941,5717,1331,1751,5650,3330,1914,17841
Loras College,2,36505894,37642172,4570,3605,13625,7587,24070,346,1567
Luther College,2,79184768,84622482,5804,3717,16513,6415,32140,555,2519
Maharishi University of Management,2,12774640,23492614,5155,3316,12081,9132,24000,231,1199
Marshalltown Community College,1,4383244,27122128,4210,2713,2372,5563,3048,220,2156
Mercy College of Health Sciences,2,11708291,12559811,5046,3658,3973,10982,13000,239,793
Morningside College,2,27199855,30046222,5092,3740,11077,7901,20890,472,2036
Mount Mercy College,2,26400642,34541253,3804,3565,9694,6126,22100,430,1666
Ashford University,3,339787591,315618537,4380,1583,6853,5160,10620,7690,46835
North Iowa Area Community College,1,10756657,34387733,4092,1015,1298,3171,3293,545,3729
University of Northern Iowa,1,81866942,270130974,4569,3395,2956,5566,5756,2934,13303
Northwestern College,2,25499402,29719566,4028,3594,11759,8534,22240,265,1206
Northeast Iowa Community College-Calmar,1,13007469,60383276,4973,1543,427,5265,4160,532,5389
Northwest Iowa Community College,1,5654615,17422741,4378,1790,1289,5374,3570,180,1615
Saint Ambrose University,2,63185852,72487970,5103,3447,10968,10983,22590,975,3729
St Luke's College,2,2201789,2650973,5000,3565,5780,7000,14040,29,179
Simpson College,2,40158681,44131357,5112,3917,14430,7480,25366,437,2025
Southeastern Community College,1,11894010,41650365,4255,1458,1753,4478,3600,567,3802
Southwestern Community College,1,4993603,20900973,4650,2812,1713,5861,3480,202,1680
Upper Iowa University,2,50807879,49885485,6444,4231,11621,9219,21418,1118,5774
Waldorf College,2,4806211,3687001,4485,3359,9685,9093,19694,125,558
Wartburg College,2,47405655,52235361,4964,4215,14947,7169,26650,366,1800
Western Iowa Tech Community College,1,15370564,48283647,4666,1407,559,5123,2760,391,5829
William Penn University,2,21518941,21881740,5039,3159,8925,7484,18564,483,1883
Allen County Community College,1,4133536,13884980,3492,2217,1486,3742,1504,237,3124
Baker University,2,40620655,40883349,3504,3319,13472,7119,21050,1400,3853
Barton County Community College,1,9112363,32352393,4334,500,1951,5141,1568,427,4237
Benedictine College,2,16438211,25589919,4789,2832,10378,5990,19500,286,1877
Bethany College,2,10361358,12955237,4478,3323,10058,6624,18715,98,592
Bethel College,2,9959761,13961916,4638,3025,11160,6870,19990,89,437
Brown Mackie College-Salina,3,7955139,8072105,5504,6516,5300,11179,9576,101,466
Butler Community College,1,16919123,52327783,2990,860,2662,3543,1905,920,9229
Central Christian College of Kansas,2,5450531,6057844,4662,3225,6779,8016,17000,45,466
Cloud County Community College,1,3879755,17157912,3955,1718,1578,3500,1980,219,2786
Coffeyville Community College,1,5236679,19782253,2975,982,1697,4317,880,212,2056
Colby Community College,1,3283296,14159492,4703,500,1446,4247,1664,256,1565
Cowley County Community College,1,4561293,23831906,4275,1769,1774,3946,1705,509,4003
Dodge City Community College,1,2603416,17642270,3236,500,1167,4192,1120,131,1706
Donnelly College,2,2702037,5901368,3340,1015,1641,3456,5236,51,661
Emporia State University,1,32693265,76729050,4307,1128,1968,5470,3426,1391,6314
Flint Hills Technical College,1,2026408,5854189,4509,762,433,5351,2560,88,606
Fort Hays State University,1,39121831,88317379,4412,1183,1997,5342,2946,2351,11308
Barclay College,2,4613748,5864846,2758,864,9760,4164,11000,27,194
Friends University,2,36074000,39745000,5092,3200,9025,6928,18930,970,2853
Fort Scott Community College,1,5197369,14667636,4577,1697,1124,4599,1320,265,2017
Garden City Community College,1,3058894,21300102,4586,500,1434,2339,1376,262,2054
Hesston College,2,8651939,11795353,5251,2460,9812,6859,19610,129,439
Highland Community College,1,6277325,18390298,4108,1000,1811,5237,1590,184,3698
Hutchinson Community College,1,7899714,39566252,4264,632,1641,4252,1920,570,5453
Independence Community College,1,1711318,12784188,4602,1850,1132,2280,1040,67,1177
Johnson County Community College,1,35880087,161581042,4133,500,1851,3554,2520,1213,20385
University of Kansas,1,258379839,1036622205,4384,1006,2955,5787,6567,6459,29242
Newman University,2,24345787,21796247,4706,3292,11573,6061,19200,534,2557
Kansas State University,1,185337400,626391241,4507,1322,3157,5558,6186,4441,23581
Kansas Wesleyan University,2,13752193,14692138,4945,3583,9781,7281,19200,206,852
Labette Community College,1,2203240,13696084,4351,646,883,2870,1320,160,1756
Manhattan Christian College,2,3171610,5585598,4181,2657,5262,4287,10925,73,345
McPherson College,2,10547216,13852090,5500,2771,9250,9246,17900,118,629
MidAmerica Nazarene University,2,24531485,27535953,4658,2848,11248,6340,18146,598,1778
Ottawa University,2,37292644,37942810,5168,1830,12011,6404,19100,851,2802
Pittsburg State University,1,31065159,88242266,5049,1065,2356,5229,3652,1587,7277
Pratt Community College,1,1855253,12638408,3807,465,1304,3609,1504,260,1587
University of Saint Mary,2,11383276,16068360,4388,2911,9056,5838,18500,307,1072
Salina Area Technical College,1,1720250,4208485,4394,741,780,4660,3066,19,339
Seward County Community College and Area Technical School,1,2501428,17702730,4475,1004,1177,3599,1280,202,1850
Southwestern College,2,23521895,26392597,5566,3206,10764,7720,19530,674,1810
Sterling College,2,5973460,8318697,4629,2574,7960,6112,18000,118,722
Tabor College,2,11933741,14058822,4642,2845,10019,6269,19200,145,640
Washburn University,1,40596601,90446064,4657,1471,2964,5794,6030,1127,6652
Wichita State University,1,74456748,218816875,4347,1207,4364,5483,4497,2890,14601
Alice Lloyd College,2,5048851,14337870,4613,3935,3421,2498,7300,101,595
Asbury College,2,29882688,32884003,5124,4275,9561,8869,22242,321,1619
Bellarmine University,2,71374988,58882239,5013,4306,16730,6232,27800,692,3090
Berea College,2,42854616,135645830,5017,6273,22173,1886,0,289,1548
Berea College,2,42854616,135645830,5017,6273,22173,1886,0,289,1548
Berea College,2,42854616,135645830,5017,6273,22173,1886,0,289,1548
Berea College,2,42854616,135645830,5017,6273,22173,1886,0,289,1548
Brescia University,2,8289411,10224462,2347,4505,7895,4961,15600,95,725
Campbellsville University,2,32517813,33038498,4240,4569,8642,5440,18410,478,3178
Centre College,2,47233516,57746211,5055,3811,16731,5773,31200,293,1216
University of the Cumberlands,2,29685437,43327489,4944,4718,6901,5199,15298,487,2955
Eastern Kentucky University,1,111746381,263505237,4733,1999,5031,5381,6312,3027,16268
Georgetown College,2,36821643,42732788,4960,4316,14347,7162,26080,510,1882
Jefferson Community and Technical College,1,223533997,569828368,5046,1562,1670,5606,3000,7270,100112
National College-Lexington,3,30171348,33507541,5041,1732,975,7962,8028,475,3702
Kentucky State University,1,20536956,70583120,4925,1509,4211,7080,5086,304,2834
Kentucky Wesleyan College,2,10001984,13629017,4738,4233,7476,5680,16870,179,876
University of Kentucky,1,281848249,2257388491,5080,2142,5863,6032,7214,5466,26295
Kentucky Christian University,2,7209266,14963911,3136,4100,4923,5901,13888,79,583
Lindsey Wilson College,2,32997191,34043541,4977,4326,8100,5671,17640,522,2349
Sullivan College of Technology and Design,3,9384692,9537352,5089,1274,1334,10089,16805,194,630
University of Louisville,1,214245000,787933000,4951,2146,8088,5177,7944,4321,21016
Mid-Continent University,2,15567719,17477218,2382,2089,4990,3897,12450,515,1823
Midway College,2,16324874,24181304,3028,3510,6132,5059,18000,359,1392
Morehead State University,1,57047105,132842779,4521,2224,5351,4998,6036,1452,8822
Murray State University,1,83934245,166921337,5030,2143,6038,5355,5130,2180,10071
Northern Kentucky University,1,114103000,204652000,5059,1812,3365,5616,6792,2720,15378
Daymar College-Owensboro Campus,3,3472440,3335503,3466,324,1025,7096,12960,43,366
Pikeville College,2,19505311,27434173,4778,4758,6550,5703,14535,184,1009
Brown Mackie College-Louisville,3,25173616,27398128,5470,2544,1000,11131,9575,254,1536
Saint Catharine College,2,9475896,11457060,5637,4262,4330,6619,14740,104,852
Brown Mackie College-Northern Kentucky,3,11040717,11855292,5453,1276,1250,13245,10116,126,672
Spalding University,2,26023567,27958717,4961,4681,4283,5418,17100,477,2069
Spencerian College,3,16981863,17366510,3922,1366,746,6763,14580,197,1281
Sullivan University,3,69071650,73396087,4706,2950,1444,8688,15600,1179,5652
Thomas More College,2,30737502,26954463,4857,3625,12119,7320,22500,405,1858
Transylvania University,2,26795123,43028730,4909,4112,11402,6602,24250,229,1092
Union College,2,18868375,19413001,4670,4472,6205,6401,17384,384,1435
Western Kentucky University,1,151171330,315038375,4831,2372,5592,6187,7200,3768,20712
Baton Rouge General Medical Center School of Nursing,2,641844,669260,4679,253,667,8325,8050,,72
Bossier Parish Community College,1,11550734,31197807,3474,1357,1940,5189,1452,469,5430
Centenary College of Louisiana,2,19968526,35209451,4834,3416,15135,5153,21790,204,974
Delgado Community College,1,42460538,102172418,4844,1304,971,5453,1830,1020,16758
Delta School of Business and Technology,3,3601588,4094173,4611,313,7992,5390,9590,107,345
Dillard University,2,15873953,59819494,5524,1672,5664,8353,13000,107,1011
Nunez Community College,1,2790495,9174430,4663,1370,1050,2037,1582,130,1834
Grambling State University,1,27475145,80177092,5388,1403,3381,8016,2606,885,4992
Louisiana State University at Alexandria,1,7630910,22116355,4575,1948,1519,4345,2692,253,2675
Louisiana State University and Agricultural & Mechanical College,1,212124486,921475614,5121,4149,4557,5743,3469,6005,28643
Louisiana State University-Eunice,1,5914485,18667619,4679,1608,1979,3933,2300,257,3332
Louisiana State University-Shreveport,1,13358388,39029713,4989,2597,2927,5146,2732,592,4667
Louisiana College,2,13448007,24019020,4791,3803,3973,5312,11100,282,1461
Louisiana Tech University,1,52898055,151537249,4875,3514,3820,5232,5091,1803,11264
Loyola University New Orleans,2,107904853,128836572,5560,3196,17721,6333,28770,1141,4714
McNeese State University,1,31910031,85140754,4541,2392,3923,5047,2556,1402,8638
University of New Orleans,1,61221917,180931929,4688,3133,4842,4793,3704,2007,11724
Nicholls State University,1,36548607,84703391,5029,2850,3287,4483,2603,1235,7169
University of Louisiana Monroe,1,39705156,119157377,5735,2569,1947,2501,2400,1438,9004
Northwestern State University of Louisiana,1,40946497,89071916,5301,2482,3462,5235,2594,1593,9247
Our Lady of Holy Cross College,2,10578422,14265939,4986,2194,4064,6023,7440,188,1325
Our Lady of the Lake College,2,15328623,25279875,2787,2444,2410,5597,7296,509,1870
Southeastern Louisiana University,1,56883543,156658473,4985,2556,3283,4875,2546,2369,15151
Southern University and A & M College,1,38516077,154345301,3944,1682,3664,5770,4100,1307,8218
Southern University at New Orleans,1,8987399,30764967,4441,1708,200,5244,2038,374,3141
Southern University at Shreveport,1,5905074,23632827,4772,1041,4985,1801,1578,215,3014
University of Louisiana at Lafayette,1,72740480,220019184,4884,2593,2221,4726,4016,2569,16361
Tulane University of Louisiana,2,347037000,769415000,6066,3382,25055,7436,37200,2920,11464
Xavier University of Louisiana,2,55131405,106619754,5314,1719,3565,5353,15300,504,3338
Andover College,3,17847462,12856595,3406,797,605,6098,11566,324,1545
College of the Atlantic,2,17751467,24997071,5764,1014,26813,5570,32580,78,341
Bowdoin College,2,69870000,178133000,7149,841,28292,5205,39605,456,1777
Central Maine Medical Center College of Nursing and Health Professions,2,1424409,1397219,3489,937,117,5810,6279,41,157
Eastern Maine Community College,1,7154657,18164374,3429,1391,1232,4782,2520,269,2099
Husson University,2,40920440,51066563,5358,1188,3963,7402,12690,690,3495
Kennebec Valley Community College,1,4734463,13066644,5609,1893,944,3773,2520,279,2298
Landing School of Boat Building and Design,2,1567196,2334257,4728,900,2507,7735,16700,,85
University of Maine,1,253372613,715133187,4398,1099,3694,8036,7590,5743,35210
Maine Maritime Academy,1,13902834,30687144,5002,1207,3341,13955,7900,202,939
University of New England,2,103377872,118312232,4829,1025,14274,10060,26940,1133,4493
Northern Maine Community College,1,3921194,13661183,4912,921,1124,4924,2520,176,1129
Maine College of Art,2,9932580,8498105,5739,891,10899,7532,27550,62,325
Saint Joseph's College of Maine,2,32419222,32918121,4755,1137,12096,13106,25150,462,2727
Southern Maine Community College,1,18649639,39326510,4505,1361,843,4781,2520,602,6261
Thomas College,2,13854458,14921348,5334,1333,9174,6624,19900,176,997
Unity College,2,11790568,13072465,5567,1258,8379,7844,20540,85,564
Washington County Community College,1,399902,8006595,4886,919,483,2355,2604,72,374
Allegany College of Maryland,1,16030527,36328832,4605,1651,1058,5245,5520,572,4085
Anne Arundel Community College,1,37634733,122007042,4257,733,1704,4551,5070,1336,16741
University of Baltimore,1,60863661,96109818,5261,2235,3448,5585,5325,1384,6265
Baltimore International College,2,16394497,15843148,5404,2850,5270,3777,17930,134,497
Bowie State University,1,32750159,82254044,4605,3331,3365,6196,4286,885,5617
Capitol College,2,8744384,10483802,4571,4477,7314,5503,19310,226,713
Cecil College,1,7497084,25819032,4068,974,510,4690,5250,190,2388
College of Southern Maryland,1,23103669,63567958,3756,709,1323,3842,4176,822,8810
Chesapeake College,1,7684018,26812566,4247,804,996,5667,4452,230,2856
Washington Adventist University,2,18617747,29420307,5453,5706,7032,10545,18200,217,1178
Coppin State University,1,15517378,74384987,4914,2961,3961,4739,3527,447,3801
Frederick Community College,1,16005348,50019956,3913,621,684,4060,4992,682,6233
Frostburg State University,1,31410037,85341234,5299,3487,2579,8057,5000,998,5385
Garrett College,1,3608315,14893489,4267,1973,1207,5156,6480,92,897
Goucher College,2,51037521,74675033,5229,6000,19267,6091,33294,465,2279
Kaplan University,3,19739244,16265267,5177,7417,1803,11426,15300,219,1112
Hagerstown Community College,1,13722401,36398428,4014,675,1145,4084,3672,442,4452
Harford Community College,1,15685331,51753137,4323,1150,1536,3658,3696,609,6656
Hood College,2,42070957,45419189,4872,3898,17029,9184,27770,518,2493
Howard Community College,1,32357128,83361646,4626,849,1266,4439,5910,675,8778
Johns Hopkins University,2,618272000,4330093000,5595,3472,25856,5939,39150,6146,20383
Loyola University Maryland,2,161183759,190468372,8682,2763,20936,8070,36510,1606,6067
University of Maryland-University College,1,265260479,312563656,3447,4882,1062,6947,5520,6190,37347
University of Maryland-Baltimore County,1,95769244,326173095,6137,2996,6292,6276,6484,2504,12870
University of Maryland-College Park,1,422194424,1476927085,5093,3184,6194,6608,6566,9515,37195
Maryland Institute College of Art,2,64966902,72389536,5943,4223,12377,8453,33000,454,2084
University of Maryland Eastern Shore,1,22845359,97692769,4620,4615,4214,6500,4112,542,4433
Montgomery College,1,87048418,263550893,4317,1370,1377,4494,6270,1917,26147
Morgan State University,1,53943625,180465211,5174,3435,6241,9655,4280,969,7226
Mount St. Mary's University,2,48092321,58103111,6984,2708,14020,8464,28420,518,2080
College of Notre Dame of Maryland,2,31102779,41317371,5841,4896,14518,7441,26500,702,2971
Prince George's Community College,1,40655701,114456461,4259,939,3279,4728,4008,695,13685
Salisbury University,1,51247236,126456416,4876,2976,2060,5708,4814,1874,8204
St. Mary's College of Maryland,1,29763886,62076814,4627,3086,4830,7211,10995,480,2060
Sojourner-Douglass College,2,19310853,29932518,4825,2367,1638,7905,7720,169,1294
St John's College,2,19930369,32169847,6662,2579,26531,5985,39992,142,540
Towson University,1,149426529,319493062,4648,2926,5546,6327,5180,4649,21177
Stevenson University,2,60296725,65752500,5243,4440,8924,6974,19234,777,3432
Washington Bible College-Capital Bible Seminary,2,6153495,7336520,5533,2500,2632,6550,12600,65,582
Washington College,2,47648856,66430543,5657,3277,16417,7456,34690,253,1368
McDaniel College,2,59618000,68151000,5110,3780,17118,6357,32000,928,3607
Wor-Wic Community College,1,9928948,31336550,4418,1044,1876,3291,4728,318,4045
American International College,2,53926169,47456996,5190,2087,16882,7429,25550,876,3414
Amherst College,2,65990848,304984044,5554,2183,35993,5459,38250,428,1744
Anna Maria College,2,26429165,23018733,4747,2278,12648,11876,24192,334,1589
Assumption College,2,68300825,68215892,4809,1924,13821,8212,29806,738,2794
Atlantic Union College,2,5455791,11127801,4847,2017,5467,6885,14960,101,468
Babson College,2,122907286,164248630,5949,1635,23930,6917,37824,1172,3445
Boston Baptist College,2,1576357,2135287,4450,400,2753,9354,7426,19,147
Bay Path College,2,29293853,30121070,5280,1645,11261,9277,24530,535,2034
Bay State College,3,15666202,13022749,4467,526,3746,7592,19875,160,753
Becker College,2,35113971,31388921,5402,1848,8327,8257,24780,356,1758
Bentley University,2,174888000,195167442,5827,2555,19173,6806,34360,1595,5628
Berklee College of Music,2,136777284,183990730,4960,847,10924,12874,29200,721,4145
Berkshire Community College,1,7529806,23061228,4097,962,533,2782,624,221,2601
Boston Architectural College,2,20358271,23859040,4378,913,7858,11668,11448,121,1406
Boston College,2,474257371,821848442,6741,1302,27177,4070,38530,4175,15036
Boston University,2,1004001784,1667040908,6532,2345,22813,9825,37910,9072,31960
Brandeis University,2,179761113,323812891,6352,2841,24541,5393,37530,1575,5598
Bridgewater State College,1,68811712,141046210,5295,1994,1795,8590,910,1928,10774
Bristol Community College,1,24234753,58785320,4022,881,637,3450,576,854,8767
Bunker Hill Community College,1,30734962,65933901,4156,1107,2265,5006,576,770,11009
Cape Cod Community College,1,12543440,29959381,3912,1008,1146,4613,576,432,4657
Laboure College,2,7779674,7731255,2775,200,1888,10063,22943,98,669
Clark University,2,99487000,145781708,6412,2110,16690,6252,34900,993,3416
Curry College,2,67674935,76129179,4958,1960,11186,9895,28000,729,3125
Dean College,2,26540584,29528358,4290,1849,13337,5643,28020,298,1113
Eastern Nazarene College,2,17088276,21510624,5355,1095,9954,8494,21280,294,1075
Emerson College,2,119733502,134979426,5414,1323,15848,8462,29408,1248,4556
Emmanuel College,2,51500630,59788600,5778,2802,14080,9190,29200,494,2454
Endicott College,2,57129483,76326458,5209,1245,8753,9326,24976,663,4136
Fisher College,2,17972113,17618892,4256,1257,10363,6389,22500,245,1593
Fitchburg State College,1,32632170,77803757,4919,2439,2118,5473,970,1157,7043
Framingham State College,1,28481758,66069172,4735,1817,1268,6107,970,1277,5989
Benjamin Franklin Institute of Technology,2,7844002,8415194,4592,1404,2531,5967,13950,119,594
Gordon College,2,42832713,52842223,4678,1227,11180,8386,27152,393,1685
Greenfield Community College,1,8859685,23332921,3890,965,519,4165,624,249,2546
Hampshire College,2,54917949,52407129,6217,973,23378,5273,39112,304,1463
Harvard University,2,883013000,5348051000,5332,2738,34621,4448,33696,7058,27651
College of the Holy Cross,2,113075783,177409546,7537,2822,25263,6441,38180,716,2932
Holyoke Community College,1,20649768,52775126,4056,956,446,3597,2904,906,7473
Lasell College,2,38584963,45620347,5104,2053,12996,8261,24300,260,1672
Lesley University,2,94744257,110244252,6255,2074,12633,7644,28150,2408,6173
Marian Court College,2,3427131,3260885,5471,1738,3042,6402,14250,36,230
University of Massachusetts-Boston,1,713347946,2654223684,4967,2430,3108,6272,1714,13097,65923
Massachusetts College of Pharmacy and Health Sciences,2,122729749,135740323,6841,1099,7773,14553,23800,911,4252
Massachusetts College of Art and Design,1,24848295,52335778,5353,2489,4697,6294,8400,409,2422
Massachusetts Institute of Technology,2,468570000,3071182000,7474,2117,32094,5994,37510,3296,10384
Massachusetts Maritime Academy,1,12034555,43571608,4231,1582,2578,7362,1242,228,1292
Massasoit Community College,1,22631756,51643625,4280,933,563,3506,576,717,7941
Merrimack College,2,57521406,60268660,5862,1532,12220,6050,29310,469,2090
Middlesex Community College,1,30600436,66969031,4237,1168,976,3511,576,1012,9516
Montserrat College of Art,2,8229016,9329972,4224,1188,8534,9993,23140,53,339
Mount Holyoke College,2,87963488,150390216,6109,2826,27466,4586,38940,598,2304
Mount Ida College,2,33002913,36634305,5420,2009,10266,8588,23100,292,1487
Mount Wachusett Community College,1,16454301,43202044,2401,580,1434,2247,600,519,4761
School of the Museum of Fine Arts-Boston,2,18626218,17341900,4839,900,14462,9240,29540,143,754
The New England Conservatory of Music,2,29624780,40872607,4059,450,13770,9144,32900,209,785
Newbury College-Brookline,2,20927646,18073032,4676,1609,9740,8219,22400,146,994
Nichols College,2,33399866,33620090,4767,2039,15766,7761,27740,309,1552
Massachusetts College of Liberal Arts,1,13112056,40909743,5216,1691,2375,5304,1030,349,1962
North Shore Community College,1,23590833,57309118,4162,1018,988,2815,600,713,7968
The New England Institute of Art,3,40091332,45671161,5412,1089,2349,9971,22500,332,1614
Northeastern University,2,697814126,799935126,7506,1825,16246,6264,34950,6335,27537
Northern Essex Community College,1,19741337,46839096,4342,887,938,3819,600,652,7385
College of Our Lady of the Elms,2,22522789,23215431,5357,2299,13121,7615,24788,326,1260
Pine Manor College,2,9112257,14766505,5261,1585,10943,7728,20189,83,484
Quincy College,1,18529631,19264650,4778,613,1629,5420,3960,472,4361
Quinsigamond Community College,1,31651752,60160289,4587,644,1423,3952,576,802,8349
Regis College,2,31637458,32595135,5368,1464,16814,6276,28900,455,1586
Salem State College,1,59236549,119459235,5002,1968,1757,6659,910,1802,10125
Simmons College,2,106982166,125116339,5907,1686,11876,10570,30520,1540,5003
Bard College at Simon's Rock,2,16278930,20237453,5038,2113,22079,7003,39375,177,431
Smith College,2,115800673,326887090,5709,2171,29135,4718,37510,907,3121
Springfield College,2,95893137,96689824,6109,1771,12548,7890,26060,1616,5107
Springfield Technical Community College,1,19225607,65092228,4279,1216,1567,2371,750,780,6782
Stonehill College,2,75450030,97877976,6167,2050,15400,7034,31210,573,2468
Suffolk University,2,255661421,246372501,5722,1529,10918,7551,27100,2535,9148
Tufts University,2,369594051,801191449,7151,3742,24820,5621,39432,2877,10252
Wellesley College,2,90400000,230713000,6326,2244,31871,3955,37826,555,2324
Wentworth Institute of Technology,2,80374521,93552925,4966,1439,6752,5774,21800,878,3808
Western New England College,2,94140158,97144054,5915,1498,12232,8078,26822,915,3710
Westfield State College,1,36558739,87662022,5097,2058,1818,5806,970,1252,5675
Wheaton College,2,64393927,82359065,6106,2495,20991,5921,39565,392,1632
Wheelock College,2,27315311,34611687,5076,1543,15280,9769,27150,296,1055
Williams College,2,82680026,268052069,6540,1799,33287,4812,39250,569,2141
Worcester Polytechnic Institute,2,139783000,191059000,7052,1042,17878,10834,38360,1138,4961
Worcester State College,1,32314303,71766875,5040,1990,1554,5959,970,954,5473
Adrian College,2,37521462,34823394,4383,1488,12507,6390,24140,207,1608
Albion College,2,51577386,60006488,5624,1531,16901,7666,29488,403,1738
Alma College,2,35930232,43120066,5067,1579,16349,7992,25838,233,1444
Alpena Community College,1,6615854,19647365,4168,2713,1088,4199,3780,326,2077
Andrews University,2,62917845,97388059,5159,1496,8485,6944,20520,734,3589
Aquinas College,2,40099231,38187971,4916,1521,11755,5059,22314,442,2145
Baker College of Flint,2,228742354,237003874,3669,1431,2127,5621,7020,5200,43964
Bay de Noc Community College,1,8192241,20433642,4545,2463,946,4098,4040,366,2742
Calvin College,2,95210283,129336718,5190,1573,10123,7489,23810,928,4092
Carnegie Institute,3,3369394,3373732,4286,4840,1000,3441,9595,,395
Central Michigan University,1,221864302,406196040,4480,593,4750,6720,10170,5720,27247
Mott Community College,1,36257663,103712840,4643,2612,1006,4706,3043,1582,12151
Cleary University,2,10206687,10513521,3927,1251,1552,7938,15600,280,774
Concordia University-Ann Arbor,2,10445040,10233388,5223,1476,10610,8275,20390,339,757
College for Creative Studies,2,37569624,59075967,4424,1419,9954,7603,28650,249,1405
Davenport University,2,120195944,119040944,5288,1167,4955,7922,11016,2011,11507
Delta College,1,31956581,88725426,4837,2392,3120,3613,3570,1083,11354
Michigan Institute of Aviation and Technology,3,15281167,16231052,6449,11025,1770,11604,10200,,679
University of Detroit Mercy,2,141610490,135569143,5186,1528,18599,6670,28920,1423,5585
